"state","demographic_group","high_adi_predicted","low_adi_predicted","high_adi_observed","low_adi_observed","absolute_disparity_predicted","relative_disparity_predicted","absolute_disparity_observed","high_adi_mean_staternk","low_adi_mean_staternk","sample_size_high","sample_size_low"
"VT","Older_American",0.984829388532547,0.987088904301657,1,1,0.00225951576911021,0.0022943220373195,0,8.57971014492754,2.05755395683453,138,139
"VT","Servicemember",0.983874889049668,0.984434252041897,1,1,0.000559362992229029,0.000568530611416707,0,8.57971014492754,2.05755395683453,138,139
"IL","General_Population",0.986962767709844,0.98772858346363,0.989406335221313,0.986140499365214,0.000765815753786314,0.000775931756334947,-0.00326583585609863,8.5243558580457,1.98259770561928,10285,10286
"IL","Older_American",0.986191298724545,0.988256097882505,0.987124463519313,0.982456140350877,0.00206479915796054,0.00209371058194385,-0.00466832316843613,8.5243558580457,1.98259770561928,10285,10286
"IL","Servicemember",0.985305527664994,0.985817486253697,0.988416988416988,0.986772486772487,0.000511958588703787,0.000519593744609415,-0.00164450164450158,8.5243558580457,1.98259770561928,10285,10286
"ID","General_Population",0.983999093633911,0.984786880214944,0.987562189054726,0.978922716627635,0.000787786581032957,0.000800596856368685,-0.00863947242709173,7.940329218107,2.46817248459959,486,487
"ID","Older_American",0.983207381677245,0.985329149194987,0.975609756097561,1,0.0021217675177424,0.00215800609035588,0.024390243902439,7.940329218107,2.46817248459959,486,487
"ID","Servicemember",0.981931926132949,0.982458239950112,0.953488372093023,0.972222222222222,0.000526313817162949,0.00053599827356221,0.0187338501291989,7.940329218107,2.46817248459959,486,487
"MO","General_Population",0.985780536280322,0.986641601602112,0.989568845618915,0.985792349726776,0.0008610653217902,0.00087348582174207,-0.00377649589213869,8.88670595939751,2.12864157119477,3054,3055
"MO","Older_American",0.984855528507349,0.987186255087467,0.971830985915493,0.965277777777778,0.00233072658011824,0.00236656698637883,-0.0065532081377152,8.88670595939751,2.12864157119477,3054,3055
"MO","Servicemember",0.983997564493502,0.984572460323885,0.97196261682243,0.987951807228916,0.000574895830382727,0.000584245176133757,0.0159891904064857,8.88670595939751,2.12864157119477,3054,3055
"KS","General_Population",0.98568183103581,0.986545926594328,0.985875706214689,0.977931034482759,0.000864095558517963,0.000876647546206533,-0.0079446717319307,8.22817955112219,1.49315068493151,802,803
"KS","Older_American",0.984905041809973,0.987220961175125,0.930232558139535,0.978723404255319,0.00231591936515219,0.00235141385904192,0.0484908461157842,8.22817955112219,1.49315068493151,802,803
"KS","Servicemember",0.983846208770055,0.984424513512136,1,1,0.000578304742081759,0.000587799939590905,0,8.22817955112219,1.49315068493151,802,803
"AR","General_Population",0.98844909811284,0.989118246143941,0.989481065918653,0.989339019189765,0.000669148031100963,0.000676967617633029,-0.000142046728888068,8.12343234323432,1.68403693931398,1515,1516
"AR","Older_American",0.987840360612365,0.98963486319455,1,0.935483870967742,0.00179450258218461,0.0018165916819517,-0.0645161290322581,8.12343234323432,1.68403693931398,1515,1516
"AR","Servicemember",0.986958334001357,0.987406444883461,1,0.987179487179487,0.000448110882104391,0.000454032218652589,-0.0128205128205128,8.12343234323432,1.68403693931398,1515,1516
"DE","General_Population",0.986326649468139,0.987013882355426,0.992952231793266,0.989202657807309,0.000687232887287115,0.000696759930047142,-0.00374957398595654,8.23883928571429,2.66245353159851,1344,1345
"DE","Older_American",0.98558195242354,0.987439992167341,0.976744186046512,0.973684210526316,0.00185803974380083,0.00188522094913757,-0.00305997552019577,8.23883928571429,2.66245353159851,1344,1345
"DE","Servicemember",0.984573027495289,0.985032035543089,1,1,0.000459008047799747,0.000466200103985681,0,8.23883928571429,2.66245353159851,1344,1345
"DC","General_Population",0.985080216496614,0.985897558049819,0.988857938718663,0.982954545454545,0.000817341553205342,0.000829720808029455,-0.00590339326411737,9,2.90025359256128,1182,1183
"DC","Older_American",0.984082537261246,0.986309450523509,1,0.971014492753623,0.00222691326226332,0.00226293342066697,-0.0289855072463768,9,2.90025359256128,1182,1183
"DC","Servicemember",0.983218167676712,0.983762866302354,0.986842105263158,0.982758620689655,0.000544698625641438,0.000553995688391762,-0.00408348457350272,9,2.90025359256128,1182,1183
